# contains logged_avg rows from train_pytorch logging and per-step tqdm_step rows from tqdm output
# gtdual zero-init v3 two-stage run; stage2 initializes from stage1 step 5000
exp	config	source_job_id	job_state	row_type	timestamp	step	total_steps	display_step	loss	lr	grad_norm	interval_time_s	action_loss	action_loss_raw	aux_loss	aux_gt_loss	aux_pi3x_loss	aux_xy_loss	aux_z_loss	aux_scale_mean	aux_gt_frac	aux_pi3x_frac	pytorch_weight_path_override
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	tqdm_step		7	5000	7	0.7380	3.49e-07													<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	tqdm_step		8	5000	8	0.7346	3.99e-07													<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	tqdm_step		9	5000	9	0.7255	4.49e-07													<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	tqdm_step		10	5000	10	0.6917	4.99e-07													<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	tqdm_step		11	5000	11	0.7235	5.49e-07													<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	tqdm_step		12	5000	12	0.7264	5.99e-07													<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	tqdm_step		13	5000	13	0.6787	6.49e-07													<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	tqdm_step		14	5000	14	0.7491	6.99e-07													<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	tqdm_step		15	5000	15	0.7659	7.49e-07													<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	tqdm_step		16	5000	16	0.7135	7.98e-07													<none>
